x,y,red,green,blue,hexvalue,h,s,v,luminance,hue_group,shade,name
12,6,0.803921568627451,0.8627450980392157,0.2235294117647059,#CDDC39,65.52147239263803,0.740909090909091,0.8627450980392157,0.7747843137254903,lime,500,lime-500
12,7,0.7529411764705882,0.792156862745098,0.2,#C0CA33,63.97350993377483,0.7475247524752475,0.792156862745098,0.7152549019607842,lime,600,lime-600
12,8,0.6862745098039216,0.7058823529411765,0.16862745098039217,#AFB42B,62.1897810218978,0.7611111111111111,0.7058823529411765,0.6409019607843137,lime,700,lime-700
12,9,0.6196078431372549,0.615686274509804,0.1411764705882353,#9E9D24,59.50819672131148,0.7721518987341772,0.6196078431372549,0.56466666666666665,lime,800,lime-800
12,10,0.5098039215686274,0.4666666666666667,0.09019607843137255,#827717,53.83177570093458,0.823076923076923,0.5098039215686274,0.43819607843137254,lime,900,lime-900
13,1,1,0.9921568627450981,0.9058823529411765,#FFFDE7,55,0.09411764705882353,1,0.9850196078431372,yellow,50,yellow-50
13,2,1,0.9764705882352941,0.7686274509803922,#FFF9C4,53.898305084745765,0.23137254901960785,1,0.9606666666666666,yellow,100,yellow-100
13,3,1,0.9607843137254902,0.615686274509804,#FFF59D,53.87755102040816,0.3843137254901961,1,0.9345882352941177,yellow,200,yellow-200
13,4,1,0.9450980392156862,0.4627450980392157,#FFF176,53.86861313868613,0.5372549019607843,1,0.9085098039215687,yellow,300,yellow-300
13,5,1,0.9333333333333333,0.34509803921568627,#FFEE58,53.89221556886228,0.6549019607843137,1,0.8886274509803922,yellow,400,yellow-400
13,6,1,0.9215686274509803,0.23137254901960785,#FFEB3B,53.87755102040816,0.7686274509803922,1,0.8691764705882353,yellow,500,yellow-500
13,7,0.9921568627450981,0.8470588235294118,0.20784313725490197,#FDD835,48.9,0.7905138339920948,0.9921568627450981,0.8202745098039215,yellow,600,yellow-600
13,8,0.984313725490196,0.7529411764705882,0.17647058823529413,#FBC02D,42.81553398058252,0.8207171314741036,0.984313725490196,0.7589411764705881,yellow,700,yellow-700
13,9,0.9764705882352941,0.6588235294117647,0.1450980392156863,#F9A825,37.07547169811321,0.8514056224899599,0.9764705882352941,0.6976078431372548,yellow,800,yellow-800
13,10,0.9607843137254902,0.4980392156862745,0.09019607843137255,#F57F17,28.10810810810811,0.9061224489795918,0.9607843137254902,0.592,yellow,900,yellow-900
14,1,1,0.9725490196078431,0.8823529411764706,#FFF8E1,46,0.11764705882352941,1,0.970862745098039,amber,50,amber-50
14,2,1,0.9254901960784314,0.7019607843137254,#FFECB3,45,0.2980392156862745,1,0.9232549019607844,amber,100,amber-100
14,3,1,0.8784313725490196,0.5098039215686274,#FFE082,45.12,0.49019607843137253,1,0.8743529411764704,amber,200,amber-200
14,4,1,0.8352941176470589,0.30980392156862746,#FFD54F,45.68181818181818,0.6901960784313725,1,0.8269019607843138,amber,300,amber-300
14,5,1,0.792156862745098,0.1568627450980392,#FFCA28,45.20930232558139,0.8431372549019608,1,0.784627450980392,amber,400,amber-400
14,6,1,0.7568627450980392,0.027450980392156862,#FFC107,45,0.9725490196078431,1,0.7495686274509803,amber,500,amber-500
14,7,1,0.7019607843137254,0,#FFB300,42.11764705882353,1,1,0.714156862745098,amber,600,amber-600
14,8,1,0.6274509803921569,0,#FFA000,37.64705882352941,1,1,0.6701960784313725,amber,700,amber-700
14,9,1,0.5607843137254902,0,#FF8F00,33.64705882352941,1,1,0.6308627450980392,amber,800,amber-800
14,10,1,0.43529411764705883,0,#FF6F00,26.11764705882353,1,1,0.5568235294117647,amber,900,amber-900
15,1,1,0.9529411764705882,0.8784313725490196,#FFF3E0,36.774193548387096,0.12156862745098039,1,0.9588627450980391,orange,50,orange-50
15,2,1,0.8784313725490196,0.6980392156862745,#FFE0B2,35.84415584415584,0.30196078431372547,1,0.8950588235294117,orange,100,orange-100
15,3,1,0.8,0.5019607843137255,#FFCC80,35.90551181102362,0.4980392156862745,1,0.8272156862745098,orange,200,orange-200
15,4,1,0.7176470588235294,0.30196078431372547,#FFB74D,35.73033707865169,0.6980392156862745,1,0.7566274509803921,orange,300,orange-300
15,5,1,0.6549019607843137,0.14901960784313725,#FFA726,35.668202764976954,0.8509803921568627,1,0.7027843137254902,orange,400,orange-400
15,6,1,0.596078431372549,0,#FF9800,35.76470588235294,1,1,0.6516862745098039,orange,500,orange-500
15,7,0.984313725490196,0.5490196078431373,0,#FB8C00,33.46613545816733,1,0.984313725490196,0.6192156862745097,orange,600,orange-600
15,8,0.9607843137254902,0.48627450980392156,0,#F57C00,30.36734693877551,1,0.9607843137254902,0.5751372549019607,orange,700,orange-700
15,9,0.9372549019607843,0.4235294117647059,0,#EF6C00,27.112970711297073,1,0.9372549019607843,0.5310588235294118,orange,800,orange-800
15,10,0.9019607843137255,0.3176470588235294,0,#E65100,21.130434782608695,1,0.9019607843137255,0.45799999999999996,orange,900,orange-900
16,1,0.984313725490196,0.9137254901960784,0.9058823529411765,#FBE9E7,6,0.0796812749003984,0.984313725490196,0.9340392156862745,deep orange,50,deep orange-50
16,2,1,0.8,0.7372549019607844,#FFCCBC,14.328358208955224,0.2627450980392157,1,0.8530980392156863,deep orange,100,deep orange-100
16,3,1,0.6705882352941176,0.5686274509803921,#FFAB91,14.181818181818182,0.43137254901960786,1,0.7581960784313724,deep orange,200,deep orange-200
16,4,1,0.5411764705882353,0.396078431372549,#FF8A65,14.415584415584416,0.6039215686274509,1,0.6628627450980391,deep orange,300,deep orange-300
16,5,1,0.4392156862745098,0.2627450980392157,#FF7043,14.361702127659575,0.7372549019607844,1,0.5880392156862745,deep orange,400,deep orange-400
16,6,1,0.3411764705882353,0.13333333333333333,#FF5722,14.389140271493213,0.8666666666666667,1,0.5159607843137255,deep orange,500,deep orange-500
16,7,0.9568627450980393,0.3176470588235294,0.11764705882352941,#F4511E,14.299065420560748,0.8770491803278688,0.9568627450980393,0.4874117647058823,deep orange,600,deep orange-600
16,8,0.9019607843137255,0.2901960784313726,0.09803921568627451,#E64A19,14.341463414634145,0.8913043478260869,0.9019607843137255,0.4525882352941177,deep orange,700,deep orange-700
16,9,0.8470588235294118,0.2627450980392157,0.08235294117647059,#D84315,14.153846153846153,0.9027777777777778,0.8470588235294118,0.4181960784313725,deep orange,800,deep orange-800
16,10,0.7490196078431373,0.21176470588235294,0.047058823529411764,#BF360C,14.078212290502794,0.93717277486911,0.7490196078431373,0.3548235294117647,deep orange,900,deep orange-900
